1603940400000,13238.46000000,13240.03000000,13194.60000000,13204.10000000,460.31114600,1603941299999,6080838.27043420,6315,158.07992700,2087922.79962349,0
1603941300000,13204.10000000,13225.00000000,13168.16000000,13224.99000000,627.13113800,1603942199999,8272856.15444560,6873,334.82984400,4417126.13452775,0
1603942200000,13224.99000000,13243.00000000,13224.06000000,13236.53000000,350.21873500,1603943099999,4635090.04167234,5296,150.93381600,1997587.72531587,0
1603943100000,13236.52000000,13280.99000000,13236.52000000,13280.99000000,486.84400700,1603943999999,6456910.92438578,6429,228.89847100,3035751.14797368,0
1603944000000,13280.98000000,13289.97000000,13257.03000000,13282.94000000,379.62121200,1603944899999,5038921.80848348,5785,179.36759300,2380895.62342278,0
1603944900000,13282.94000000,13299.00000000,13247.05000000,13264.11000000,982.01979500,1603945799999,13024435.06115035,8375,654.36493300,8675433.16891187,0
1603945800000,13264.11000000,13283.00000000,13252.40000000,13255.28000000,237.12251900,1603946699999,3146398.65870742,4509,107.24852800,1423125.64137028,0
1603946700000,13255.28000000,13269.04000000,13234.34000000,13235.94000000,305.92986200,1603947599999,4054874.44065791,4997,109.34505900,1449330.49694901,0
1603947600000,13235.95000000,13280.69000000,13235.95000000,13273.91000000,369.42609900,1603948499999,4898820.97176071,4527,182.60864600,2421516.56610289,0
1603948500000,13273.92000000,13286.13000000,13245.22000000,13253.00000000,1168.32563500,1603949399999,15487519.29599729,7644,860.95177400,11410521.38020831,0
1603949400000,13253.00000000,13272.90000000,13248.69000000,13268.30000000,318.81599800,1603950299999,4228687.60663840,5111,176.35441000,2339186.58976347,0
1603950300000,13268.21000000,13291.82000000,13245.00000000,13284.83000000,470.68266900,1603951199999,6243227.03576947,6297,236.79715300,3141567.40372298,0
1603951200000,13284.84000000,13294.79000000,13244.96000000,13253.70000000,993.67481700,1603952099999,13183901.81787721,7537,721.20196000,9566937.36475856,0
1603952100000,13253.70000000,13286.40000000,13252.06000000,13276.57000000,578.23775800,1603952999999,7671335.62282437,7791,424.23624900,5627737.02919179,0
1603953000000,13276.58000000,13290.97000000,13272.00000000,13280.18000000,450.25903000,1603953899999,5979696.23743270,7150,261.36713700,3471065.46736374,0
1603953900000,13280.18000000,13326.39000000,13266.00000000,13278.72000000,812.52534200,1603954799999,10802364.49457926,12038,425.05471400,5651814.71581311,0
1603954800000,13278.72000000,13290.80000000,13240.99000000,13261.94000000,611.93693300,1603955699999,8115003.07439972,9846,261.59403500,3469165.06928405,0
1603955700000,13261.93000000,13261.94000000,13200.00000000,13207.87000000,520.21168800,1603956599999,6884691.22400030,6392,248.31120600,3286787.47765614,0
1603956600000,13207.86000000,13228.21000000,13191.05000000,13194.45000000,657.30296400,1603957499999,8684323.71702109,10018,293.42671500,3877277.86397403,0
1603957500000,13194.44000000,13197.29000000,13120.88000000,13138.87000000,1037.82552100,1603958399999,13656592.93165882,14747,428.44593800,5637108.59359858,0
1603958400000,13138.87000000,13188.15000000,13081.00000000,13119.36000000,955.23915300,1603959299999,12549850.23246873,13514,454.47685600,5971472.49204650,0
1603959300000,13119.40000000,13179.26000000,13119.40000000,13156.14000000,553.13443900,1603960199999,7278303.78292656,9294,242.25316300,3187261.43763416,0
1603960200000,13156.14000000,13187.09000000,13156.14000000,13166.71000000,494.41522900,1603961099999,6512900.08264877,7922,204.72997100,2696733.98421412,0
1603961100000,13166.70000000,13170.00000000,13114.22000000,13123.96000000,558.57166500,1603961999999,7345800.69186648,7823,234.62246500,3085809.85046614,0
1603962000000,13123.96000000,13200.00000000,13120.00000000,13193.66000000,630.84730500,1603962899999,8303957.56933413,9337,326.90698800,4303289.77251096,0
1603962900000,13193.29000000,13208.77000000,13159.59000000,13188.55000000,718.18417300,1603963799999,9468964.43383787,7369,216.19572100,2851675.55285312,0
